 ,Area,Mean,Min,Max,%Area
986,1,255,255,255,100
987,1,255,255,255,100
988,7,255,255,255,100
989,1,255,255,255,100
990,1,255,255,255,100
991,29,255,255,255,100
992,3,255,255,255,100
993,2,255,255,255,100
994,3,255,255,255,100
995,1,255,255,255,100
996,17,255,255,255,100
997,3,255,255,255,100
998,1,255,255,255,100
999,1,255,255,255,100
1000,3,255,255,255,100
1001,1,255,255,255,100
1002,1,255,255,255,100
1003,2,255,255,255,100
1004,4,255,255,255,100
1005,156,255,255,255,100
1006,1,255,255,255,100
1007,6,255,255,255,100
1008,1,255,255,255,100
1009,32,255,255,255,100
1010,2,255,255,255,100
1011,9,255,255,255,100
1012,1,255,255,255,100
1013,1,255,255,255,100
1014,2,255,255,255,100
1015,1,255,255,255,100
1016,48,255,255,255,100
1017,1,255,255,255,100
1018,1,255,255,255,100
1019,2,255,255,255,100
1020,4,255,255,255,100
1021,3,255,255,255,100
1022,11,255,255,255,100
1023,1,255,255,255,100
1024,1,255,255,255,100
1025,4,255,255,255,100
1026,8,255,255,255,100
1027,2,255,255,255,100
1028,1,255,255,255,100
1029,1,255,255,255,100
1030,1,255,255,255,100
1031,1,255,255,255,100
1032,1,255,255,255,100
1033,1,255,255,255,100
1034,1,255,255,255,100
1035,3,255,255,255,100
1036,3,255,255,255,100
1037,1,255,255,255,100
1038,1,255,255,255,100
1039,2,255,255,255,100
1040,1,255,255,255,100
1041,1,255,255,255,100
1042,2,255,255,255,100
1043,1,255,255,255,100
1044,1,255,255,255,100
1045,1,255,255,255,100
1046,8,255,255,255,100
1047,3,255,255,255,100
1048,1,255,255,255,100
1049,1,255,255,255,100
1050,1,255,255,255,100
1051,3,255,255,255,100
1052,4,255,255,255,100
1053,1,255,255,255,100
1054,1,255,255,255,100
1055,3,255,255,255,100
1056,1,255,255,255,100
1057,2,255,255,255,100
1058,1,255,255,255,100
1059,124,255,255,255,100
1060,1,255,255,255,100
1061,1,255,255,255,100
1062,2,255,255,255,100
1063,61,255,255,255,100
1064,1,255,255,255,100
1065,1,255,255,255,100
1066,1,255,255,255,100
1067,8,255,255,255,100
1068,12,255,255,255,100
1069,2,255,255,255,100
1070,2,255,255,255,100
1071,2,255,255,255,100
1072,7,255,255,255,100
1073,19,255,255,255,100
1074,10,255,255,255,100
1075,1,255,255,255,100
1076,47,255,255,255,100
1077,1,255,255,255,100
1078,16,255,255,255,100
1079,1,255,255,255,100
1080,1,255,255,255,100
1081,136,255,255,255,100
1082,5,255,255,255,100
1083,3,255,255,255,100
1084,1,255,255,255,100
1085,1,255,255,255,100
1086,31,255,255,255,100
1087,2,255,255,255,100
1088,1,255,255,255,100
1089,2,255,255,255,100
1090,1,255,255,255,100
1091,38,255,255,255,100
1092,33,255,255,255,100
1093,1,255,255,255,100
1094,1,255,255,255,100
1095,1,255,255,255,100
1096,8,255,255,255,100
1097,2,255,255,255,100
1098,1,255,255,255,100
1099,1,255,255,255,100
1100,1,255,255,255,100
1101,1,255,255,255,100
1102,3,255,255,255,100
1103,2,255,255,255,100
1104,1,255,255,255,100
1105,2,255,255,255,100
1106,1,255,255,255,100
1107,67,255,255,255,100
1108,1,255,255,255,100
1109,1,255,255,255,100
1110,1,255,255,255,100
1111,58,255,255,255,100
1112,1,255,255,255,100
1113,1,255,255,255,100
1114,23,255,255,255,100
1115,1,255,255,255,100
1116,3,255,255,255,100
1117,45,255,255,255,100
1118,289,255,255,255,100
1119,1,255,255,255,100
1120,1,255,255,255,100
1121,1,255,255,255,100
1122,1,255,255,255,100
1123,1,255,255,255,100
1124,1,255,255,255,100
1125,3,255,255,255,100
1126,1,255,255,255,100
1127,28,255,255,255,100
1128,1,255,255,255,100
1129,50,255,255,255,100
1130,6,255,255,255,100
1131,116,255,255,255,100
1132,46,255,255,255,100
1133,8,255,255,255,100
1134,12,255,255,255,100
1135,1,255,255,255,100
1136,1,255,255,255,100
1137,2,255,255,255,100
1138,1,255,255,255,100
1139,2,255,255,255,100
1140,1,255,255,255,100
1141,20,255,255,255,100
1142,2,255,255,255,100
1143,1,255,255,255,100
1144,1,255,255,255,100
1145,1,255,255,255,100
1146,7,255,255,255,100
